model_name,auc,gini,ks,model_path
LogisticRegression,0.754812000921264,0.509624001842528,0.36911520756136174,ml/artifacts/logistic.pkl
CatBoost,0.769668257499118,0.5393365149982361,0.399230044867889,ml/artifacts/catboost.cbm
